round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
First,Feliciano Lopez,7-5 7-5 6-2,2005,m,Feliciano Lopez,Paul Baccanello,ESP,AUS,54%,46%,11,14,5,9,82%,76%,76%,64%,,,,,,,67%,0%,36%,25%,104,87,32,43,13,31,64%,60%
First,Thomas Johansson,7-6(5) 4-6 6-3 4-6 6-0,2005,m,Thomas Johansson,Peter Luczak,SWE,AUS,50%,58%,24,8,7,8,82%,67%,53%,57%,220,205,186,185,139,139,38%,50%,37%,33%,159,147,61,51,61,61,69%,73%
First,Olivier Rochus,7-5 2-6 3-6 6-2 6-3,2005,m,Olivier Rochus,Nicolas Kiefer,BEL,GER,57%,58%,1,16,5,8,67%,62%,52%,51%,185,209,168,183,148,148,41%,35%,43%,39%,149,138,48,62,38,64,67%,58%
First,Sargis Sargsian,7-6(5) 4-6 1-6 6-4 6-2,2005,m,Sargis Sargsian,David Sanchez-Munoz,ARM,ESP,60%,64%,9,7,7,3,76%,65%,41%,53%,,,,,,,75%,64%,40%,38%,148,145,60,38,69,47,56%,67%
First,Kevin Kim,3-6 6-4 6-3 3-6 6-1,2005,m,Kevin Kim,Hyung-Taik Lee,USA,KOR,65%,66%,13,8,3,3,73%,65%,50%,50%,199,196,178,165,139,139,29%,50%,41%,36%,147,140,57,43,43,50,63%,62%
First,Peter Wessels,6-3 6-4 6-4,2005,m,Peter Wessels,Yen-Hsun Lu,NED,TPE,63%,63%,9,5,1,6,87%,71%,73%,43%,209,202,188,181,157,157,80%,100%,40%,18%,90,62,31,23,17,28,64%,46%
First,Gaston Gaudio,7-6(3) 6-4 6-3,2005,m,Gaston Gaudio,Justin Gimelstob,ARG,USA,64%,44%,2,10,6,10,77%,73%,66%,57%,202,202,172,183,141,141,83%,40%,42%,31%,108,88,37,27,26,39,85%,58%
First,Marat Safin,6-0 6-2 6-1,2005,m,Marat Safin,Novak Djokovic,RUS,SRB,53%,59%,1,1,1,5,93%,41%,54%,19%,210,201,197,181,149,149,69%,100%,68%,25%,83,34,19,4,20,30,95%,27%
First,Bohdan Ulihrach,6-3 6-7(6) 7-5 6-2,2005,m,Bohdan Ulihrach,Ivo Karlovic,CZE,CRO,69%,59%,4,26,3,7,84%,76%,70%,58%,,,,,,,25%,0%,35%,22%,138,113,45,55,10,41,75%,43%
First,Rainer Schuettler,7-6(3) 6-3 6-2,2005,m,Rainer Schuettler,Olivier Patience,GER,FRA,61%,64%,6,2,2,3,80%,60%,64%,54%,,,,,,,40%,0%,42%,26%,114,87,37,28,36,50,72%,67%
First,Gael Monfils,1-6 6-3 6-4 7-6(6),2005,m,Gael Monfils,Robby Ginepri,FRA,USA,54%,63%,15,3,8,3,79%,66%,48%,64%,,,,,,,50%,80%,36%,38%,125,131,48,31,39,28,75%,44%
First,Michal Tabara,3-6 6-2 6-3 6-3,2005,m,Michal Tabara,Thomas Enqvist,CZE,SWE,42%,51%,14,7,9,7,73%,67%,51%,38%,,,,,,,53%,31%,47%,40%,121,103,37,26,42,49,82%,47%
First,Paradorn Srichaphan,1-6 6-2 7-5 6-4,2005,m,Paradorn Srichaphan,Potito Starace,THA,ITA,61%,75%,9,7,2,2,70%,62%,52%,61%,202,201,185,180,151,151,32%,57%,39%,38%,121,122,45,31,57,41,55%,60%
First,Agustin Calleri,6-4 5-7 6-4 4-6 6-4,2005,m,Agustin Calleri,Max Mirnyi,ARG,BLR,60%,69%,15,16,10,4,74%,77%,62%,52%,,,,,,,71%,50%,32%,35%,154,157,71,53,48,44,79%,60%
First,Taylor Dent,7-5 6-2 6-4,2005,m,Taylor Dent,Florent Serra,USA,FRA,65%,67%,8,3,9,5,78%,55%,36%,50%,,,,,,,64%,60%,47%,37%,102,83,42,22,32,19,64%,59%
First,Jarkko Nieminen,3-6 6-4 6-3 6-2,2005,m,Jarkko Nieminen,Davide Sanguinetti,FIN,ITA,62%,66%,3,5,3,2,71%,63%,61%,42%,,,,,,,70%,57%,44%,33%,107,86,23,24,33,41,71%,73%
First,Janko Tipsarevic,7-6(4) 7-6(6) 3-6 6-1,2005,m,Janko Tipsarevic,Daniele Bracciali,SRB,ITA,54%,42%,10,12,6,6,70%,72%,63%,58%,,,,,,,71%,44%,39%,36%,143,135,42,47,57,62,76%,52%
First,Mario Ancic,6-3 6-2 6-1,2005,m,Mario Ancic,Oscar Hernandez,CRO,ESP,68%,53%,10,0,1,6,80%,57%,75%,49%,,,,,,,35%,-,51%,23%,95,58,32,10,19,32,76%,71%
First,Tommy Robredo,5-7 6-2 6-4 6-2,2005,m,Tommy Robredo,Scott Draper,ESP,AUS,60%,62%,5,5,3,3,74%,64%,59%,43%,201,197,176,172,135,135,50%,40%,45%,34%,122,99,40,25,39,36,62%,61%
First,Bjorn Phau,6-3 7-6(4) 6-3,2005,m,Bjorn Phau,Albert Costa,GER,ESP,52%,61%,7,2,3,3,67%,54%,66%,47%,,,,,,,44%,50%,50%,36%,124,100,47,20,30,46,75%,45%
First,Ivan Ljubicic,6-4 6-3 6-3,2005,m,Ivan Ljubicic,Luis Horna,CRO,PER,64%,77%,14,6,2,4,84%,63%,80%,42%,,,,,,,57%,0%,42%,17%,93,60,40,21,19,27,73%,50%
First,Tommy Haas,6-3 6-2 6-3,2005,m,Tommy Haas,Xavier Malisse,GER,BEL,59%,49%,10,10,0,1,87%,62%,70%,48%,201,204,185,183,143,143,36%,0%,46%,20%,100,69,33,29,27,35,72%,40%
First,Mardy Fish,2-6 6-0 6-4 4-6 9-7,2005,m,Mardy Fish,Juan Monaco,USA,ARG,54%,69%,19,6,8,2,78%,60%,46%,57%,217,201,193,175,151,151,44%,45%,41%,37%,168,155,69,33,81,46,67%,64%
First,Roger Federer,6-1 6-1 6-2,2005,m,Roger Federer,Fabrice Santoro,SUI,FRA,60%,69%,4,1,1,2,80%,49%,56%,43%,204,193,178,159,138,138,39%,0%,53%,29%,100,66,54,9,23,20,76%,40%
First,Marcos Baghdatis,6-1 3-6 6-1 3-6 6-3,2005,m,Marcos Baghdatis,Federico Luzzi,CYP,ITA,58%,55%,12,6,3,10,71%,68%,63%,49%,,,,,,,40%,25%,44%,34%,147,121,56,41,40,44,59%,67%
First,Guillermo Garcia-Lopez,7-5 6-3 3-6 6-3,2005,m,Guillermo Garcia-Lopez,Carlos Moya,ESP,ESP,51%,64%,13,6,6,4,69%,69%,61%,45%,207,212,193,181,143,143,50%,19%,39%,35%,125,113,43,31,46,49,79%,61%
First,Karol Beck,6-2 6-2 6-1,2005,m,Karol Beck,Todd Reid,SVK,AUS,40%,66%,9,3,8,3,81%,54%,57%,39%,193,196,175,170,135,135,41%,0%,51%,34%,105,74,38,11,33,38,94%,37%
First,Joachim Johansson,7-6(6) 6-2 6-3,2005,m,Joachim Johansson,Sjeng Schalken,SWE,NED,58%,71%,17,7,3,3,84%,70%,72%,41%,228,183,194,168,149,149,67%,0%,38%,21%,97,74,43,16,38,23,86%,67%
First,Andre Agassi,6-4 6-3 6-0,2005,m,Andre Agassi,Dieter Kindlmann,USA,GER,59%,51%,8,6,5,5,85%,53%,65%,42%,201,194,173,181,146,146,35%,50%,55%,28%,108,68,33,21,26,33,75%,67%
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,SUI,CYP,53%,48%,11,6,6,2,71%,71%,51%,37%,209,217,185,197,146,146,67%,30%,46%,38%,142,116,50,34,48,48,78%,52%
semi,Roger Federer,6-3 5-7 6-0 6-2,2006,m,Roger Federer,Nicolas Kiefer,SUI,GER,66%,51%,7,14,5,7,71%,71%,67%,38%,205,222,186,196,154,154,32%,25%,45%,30%,129,99,39,33,33,53,79%,70%
semi,Marcos Baghdatis,3-6 5-7 6-3 6-4 6-4,2006,m,Marcos Baghdatis,David Nalbandian,CYP,ARG,56%,67%,15,5,2,1,70%,63%,50%,50%,218,193,196,170,148,148,62%,41%,41%,39%,152,143,52,48,41,56,63%,81%
quarter,Roger Federer,6-4 3-6 7-6(7) 7-6(5),2006,m,Roger Federer,Nikolay Davydenko,SUI,RUS,62%,77%,6,1,0,2,74%,70%,53%,42%,210,209,189,173,151,151,40%,50%,36%,34%,144,139,46,30,52,48,60%,72%
quarter,Nicolas Kiefer,6-3 0-6 6-4 6-7(1) 8-6,2006,m,Nicolas Kiefer,Sebastien Grosjean,GER,FRA,45%,51%,4,12,9,2,62%,64%,51%,53%,220,215,189,183,139,139,56%,69%,41%,44%,160,169,34,59,67,55,58%,59%
quarter,David Nalbandian,7-5 6-0 6-0,2006,m,David Nalbandian,Fabrice Santoro,ARG,FRA,61%,61%,2,4,0,1,74%,59%,72%,20%,191,194,173,173,133,133,53%,33%,57%,27%,90,50,47,18,17,15,81%,40%
quarter,Marcos Baghdatis,6-4 6-2 4-6 3-6 6-3,2006,m,Marcos Baghdatis,Ivan Ljubicic,CYP,CRO,53%,64%,8,14,4,3,80%,71%,60%,54%,213,220,196,193,154,154,27%,22%,35%,30%,146,139,47,61,26,57,67%,70%
Fourth,Nicolas Kiefer,7-6(4) 6-3 6-3,2006,m,Nicolas Kiefer,Juan Ignacio Chela,GER,ARG,46%,57%,5,2,3,0,84%,63%,51%,53%,218,194,196,181,146,146,71%,22%,41%,34%,101,87,41,24,33,22,76%,50%
Fourth,Sebastien Grosjean,7-5 6-2 6-2,2006,m,Sebastien Grosjean,Paul-Henri Mathieu,FRA,FRA,43%,49%,12,3,3,4,94%,52%,46%,47%,212,207,193,185,152,152,57%,75%,51%,33%,93,68,29,17,23,49,60%,57%
Fourth,Roger Federer,6-4 6-0 3-6 4-6 6-2,2006,m,Roger Federer,Tommy Haas,SUI,GER,58%,64%,10,5,1,0,78%,63%,53%,57%,217,209,191,191,152,152,55%,22%,39%,33%,143,127,66,31,58,36,66%,69%
Fourth,Nikolay Davydenko,4-6 4-6 6-4 6-2 6-3,2006,m,Nikolay Davydenko,Dominik Hrbaty,RUS,SVK,69%,50%,6,7,3,6,59%,72%,62%,41%,212,215,178,185,143,143,67%,43%,44%,40%,161,148,31,36,60,77,52%,66%
Fourth,Fabrice Santoro,6-4 7-5 7-5,2006,m,Fabrice Santoro,David Ferrer,FRA,ESP,60%,73%,6,0,0,2,63%,53%,47%,34%,197,193,178,170,143,143,56%,50%,52%,44%,108,92,19,53,14,41,61%,73%
Fourth,Ivan Ljubicic,6-2 6-4 6-4,2006,m,Ivan Ljubicic,Thomas Johansson,CRO,SWE,53%,46%,12,12,1,7,77%,81%,71%,41%,222,215,202,185,149,149,57%,0%,41%,26%,97,75,39,26,16,27,68%,63%
Fourth,Marcos Baghdatis,6-4 1-6 6-3 6-4,2006,m,Marcos Baghdatis,Andy Roddick,CYP,USA,48%,60%,16,15,1,4,72%,74%,57%,56%,218,226,199,207,173,173,30%,22%,33%,36%,116,117,63,39,26,31,64%,57%
Fourth,David Nalbandian,6-3 6-0 2-6 6-2,2006,m,David Nalbandian,Tommy Robredo,ARG,ESP,65%,68%,3,9,2,6,73%,62%,66%,32%,193,209,173,175,151,151,32%,100%,48%,30%,116,87,33,24,28,37,83%,71%
Third,Roger Federer,6-3 6-4 6-3,2006,m,Roger Federer,Max Mirnyi,SUI,BLR,67%,67%,6,5,2,6,79%,69%,87%,31%,205,220,188,201,165,165,27%,0%,44%,19%,104,74,48,22,10,25,75%,53%
Third,Nicolas Kiefer,6-3 6-2 5-7 6-2,2006,m,Nicolas Kiefer,Juan Carlos Ferrero,GER,ESP,51%,64%,13,5,4,2,87%,60%,56%,58%,222,201,201,176,144,144,36%,33%,40%,28%,125,104,52,46,34,43,67%,72%
Third,Paul-Henri Mathieu,7-6(2) 7-6(7) 6-1,2006,m,Paul-Henri Mathieu,Luis Horna,FRA,PER,63%,70%,18,9,1,4,78%,63%,61%,39%,204,209,175,173,146,146,42%,50%,44%,28%,123,91,49,36,26,45,59%,38%
Third,Dominik Hrbaty,1-6 6-4 6-3 2-6 6-4,2006,m,Dominik Hrbaty,Igor Andreev,SVK,RUS,56%,58%,12,12,5,6,61%,66%,57%,48%,217,210,188,183,143,143,24%,43%,41%,41%,160,160,32,47,63,72,52%,74%
Third,Juan Ignacio Chela,6-1 6-4 6-4,2006,m,Juan Ignacio Chela,Kristof Vliegen,ARG,BEL,55%,65%,4,5,3,5,79%,68%,58%,38%,194,201,176,176,146,146,36%,0%,43%,31%,101,76,19,41,16,44,74%,69%
Third,Tommy Haas,4-6 6-3 6-4 6-4,2006,m,Tommy Haas,Peter Luczak,GER,AUS,60%,60%,18,21,1,2,81%,72%,62%,54%,204,207,186,188,149,149,50%,100%,35%,27%,123,105,55,48,30,30,75%,72%
Third,Sebastien Grosjean,6-2 6-2 3-6 6-4,2006,m,Sebastien Grosjean,Guillermo Coria,FRA,ARG,51%,64%,7,0,8,23,73%,61%,40%,26%,215,201,191,138,141,141,35%,55%,52%,44%,128,109,46,23,48,48,63%,73%
Third,Nikolay Davydenko,6-2 5-7 6-4 7-5,2006,m,Nikolay Davydenko,Nathan Healey,RUS,AUS,75%,62%,4,17,2,6,74%,70%,71%,41%,212,213,173,191,156,156,28%,33%,41%,26%,144,116,47,42,38,61,83%,63%
Third,Andy Roddick,6-1 6-2 6-2,2006,m,Andy Roddick,Julien Benneteau,USA,FRA,60%,59%,17,5,1,3,86%,49%,64%,38%,226,210,209,178,149,149,86%,-,56%,23%,81,40,28,13,16,31,77%,44%
Third,David Nalbandian,2-6 6-3 6-2 7-5,2006,m,David Nalbandian,Jarkko Nieminen,ARG,FIN,65%,68%,6,3,3,1,63%,58%,58%,45%,193,201,176,178,125,125,37%,31%,46%,39%,141,121,54,33,52,39,74%,48%
Third,David Ferrer,6-3 6-3 6-3,2006,m,David Ferrer,Mario Ancic,ESP,CRO,71%,66%,0,3,2,5,65%,54%,58%,48%,186,207,162,173,148,148,46%,50%,48%,37%,94,76,20,24,16,35,42%,58%
Third,Thomas Johansson,6-3 6-2 6-1,2006,m,Thomas Johansson,Gilles Simon,SWE,FRA,58%,45%,9,4,1,2,85%,70%,53%,41%,220,202,188,176,133,133,40%,0%,46%,28%,89,65,33,20,27,34,60%,37%
Third,Marcos Baghdatis,6-2 6-1 6-2,2006,m,Marcos Baghdatis,Denis Gremelmayr,CYP,GER,55%,62%,5,0,3,4,67%,45%,60%,35%,202,197,180,164,127,127,73%,67%,59%,36%,82,52,27,13,17,28,74%,48%
Third,Tommy Robredo,6-3 6-4 6-4,2006,m,Tommy Robredo,James Blake,ESP,USA,57%,52%,9,6,6,8,78%,70%,65%,43%,209,218,186,193,154,154,31%,20%,43%,28%,103,79,24,34,14,46,75%,67%
Third,Fabrice Santoro,6-3 6-2 5-7 1-6 6-4,2006,m,Fabrice Santoro,Gaston Gaudio,FRA,ARG,55%,60%,9,1,5,3,67%,63%,43%,47%,194,202,170,180,141,141,62%,28%,43%,44%,156,152,62,73,19,37,63%,73%
Third,Ivan Ljubicic,7-5 7-6(5) 6-0,2006,m,Ivan Ljubicic,Feliciano Lopez,CRO,ESP,55%,56%,10,12,4,8,83%,70%,53%,38%,225,218,197,199,164,164,29%,20%,44%,30%,119,94,38,32,23,41,60%,57%
Second,Nathan Healey,6-4 6-7(4) 6-3 6-4,2006,m,Nathan Healey,Amer Delic,AUS,BIH,60%,55%,10,13,6,6,74%,82%,63%,54%,215,222,173,188,159,159,43%,0%,30%,30%,134,121,35,41,31,47,63%,57%
Second,Kristof Vliegen,3-6 6-2 7-6(4) 7-5,2006,m,Kristof Vliegen,Fernando Verdasco,BEL,ESP,67%,60%,10,9,2,20,68%,67%,41%,42%,,,,,,,32%,38%,43%,41%,152,149,34,54,51,69,55%,70%
Second,Juan Ignacio Chela,6-4 6-4 6-7(8) 6-2,2006,m,Juan Ignacio Chela,Lleyton Hewitt,ARG,AUS,64%,55%,6,8,0,3,63%,65%,64%,43%,197,205,183,170,139,139,38%,31%,45%,36%,147,128,49,63,34,62,62%,72%
Second,Igor Andreev,3-6 6-3 7-6(4) 2-6 6-2,2006,m,Igor Andreev,Raemon Sluiter,RUS,NED,68%,58%,9,11,4,3,70%,68%,52%,58%,,,,,,,56%,45%,37%,36%,145,140,45,35,48,49,56%,76%
Second,Peter Luczak,6-7(4) 6-4 6-1 6-7(1) 6-1,2006,m,Peter Luczak,Olivier Rochus,AUS,BEL,69%,59%,22,9,3,12,75%,73%,50%,44%,207,180,176,160,136,136,50%,50%,39%,33%,155,135,60,44,44,46,55%,77%
Second,Luis Horna,6-3 6-2 6-1,2006,m,Luis Horna,Bjorn Phau,PER,GER,71%,52%,8,2,2,6,83%,55%,47%,33%,,,,,,,70%,50%,56%,28%,82,46,23,8,18,35,89%,40%
Second,Tommy Haas,6-0 6-1 6-2,2006,m,Tommy Haas,Paul Goldstein,GER,USA,54%,60%,2,3,0,3,94%,66%,65%,20%,205,199,189,175,141,141,78%,0%,52%,19%,79,41,30,13,20,27,83%,33%
Second,Nicolas Kiefer,4-6 6-1 6-4 6-1,2006,m,Nicolas Kiefer,Boris Pashanski,GER,SRB,51%,55%,15,4,4,6,79%,58%,48%,40%,215,197,191,170,143,143,56%,44%,50%,36%,125,95,31,30,34,52,67%,66%
Second,Guillermo Coria,7-6(10) 6-4 6-3,2006,m,Guillermo Coria,Federico Luzzi,ARG,ITA,78%,56%,1,5,9,6,68%,65%,46%,43%,194,210,144,183,141,141,28%,30%,45%,37%,132,114,47,45,33,49,63%,56%
Second,Dominik Hrbaty,6-2 7-5 5-7 4-6 10-8,2006,m,Dominik Hrbaty,Dick Norman,SVK,BEL,59%,57%,11,20,12,17,80%,67%,48%,45%,,,,,,,26%,55%,43%,33%,203,180,69,70,43,78,71%,62%
Second,Sebastien Grosjean,6-4 6-3 6-3,2006,m,Sebastien Grosjean,Juan Monaco,FRA,ARG,45%,61%,3,2,1,4,87%,49%,49%,62%,213,209,191,188,148,148,86%,33%,46%,34%,90,69,17,15,26,37,77%,57%
Second,Max Mirnyi,7-5 6-3 4-6 7-6(8),2006,m,Max Mirnyi,Davide Sanguinetti,BLR,ITA,66%,59%,7,6,4,5,71%,67%,63%,59%,,,,,,,33%,29%,36%,32%,152,140,64,61,36,24,60%,63%
Second,Paul-Henri Mathieu,6-0 7-6(5) 6-2,2006,m,Paul-Henri Mathieu,Alex Jr. Bogomolov,FRA,RUS,49%,64%,13,1,3,7,88%,57%,54%,36%,,,,,,,37%,100%,50%,30%,116,82,37,28,32,53,86%,60%
Second,Nikolay Davydenko,4-6 6-0 6-3 6-2,2006,m,Nikolay Davydenko,Kevin Kim,RUS,USA,79%,59%,3,0,2,9,67%,64%,67%,37%,201,199,162,167,128,128,57%,60%,47%,33%,115,86,30,16,38,52,75%,50%
Second,Juan Carlos Ferrero,6-3 3-6 5-7 6-3 6-2,2006,m,Juan Carlos Ferrero,Janko Tipsarevic,ESP,SRB,62%,50%,14,16,2,3,74%,67%,53%,46%,197,210,178,188,136,136,35%,100%,44%,34%,156,136,55,57,27,55,75%,60%
Second,Roger Federer,6-1 6-4 6-0,2006,m,Roger Federer,Florian Mayer,SUI,GER,61%,64%,9,2,1,5,76%,52%,62%,44%,201,201,180,183,139,139,60%,0%,51%,30%,87,56,38,20,18,21,80%,53%
Second,David Ferrer,6-4 6-4 6-7(5) 6-2,2006,m,David Ferrer,Daniele Bracciali,ESP,ITA,66%,51%,5,6,2,11,65%,52%,49%,55%,197,222,168,183,141,141,69%,42%,51%,41%,145,118,23,44,39,84,56%,68%
Second,Denis Gremelmayr,2-6 5-7 6-4 6-3 6-3,2006,m,Denis Gremelmayr,Robby Ginepri,GER,USA,50%,66%,8,7,10,3,67%,67%,46%,45%,197,197,168,170,144,144,67%,33%,41%,44%,163,168,43,51,58,62,81%,63%
Second,Gaston Gaudio,6-3 6-2 6-3,2006,m,Gaston Gaudio,Lars Burgsmuller,ARG,GER,55%,50%,1,3,1,4,76%,71%,64%,35%,194,197,180,172,146,146,55%,20%,49%,30%,93,65,28,27,17,39,67%,51%
Second,Ivan Ljubicic,7-5 6-2 6-1,2006,m,Ivan Ljubicic,Philipp Kohlschreiber,CRO,GER,52%,46%,3,3,4,5,70%,58%,62%,49%,209,210,191,175,143,143,44%,40%,49%,36%,107,82,35,26,22,29,70%,61%
Second,Gilles Simon,6-3 6-2 4-6 6-2,2006,m,Gilles Simon,Tomas Berdych,FRA,CZE,49%,46%,6,3,3,9,73%,65%,54%,45%,202,210,173,193,156,156,78%,21%,49%,38%,135,106,45,33,38,56,77%,58%
Second,Thomas Johansson,6-3 3-6 7-5 4-6 6-3,2006,m,Thomas Johansson,Xavier Malisse,SWE,BEL,53%,47%,12,16,4,3,75%,75%,53%,54%,213,201,183,185,136,136,45%,40%,36%,35%,153,148,44,57,57,66,80%,67%
Second,Andy Roddick,7-5 6-3 6-2,2006,m,Andy Roddick,Wesley Moodie,USA,RSA,62%,72%,11,11,1,2,85%,62%,69%,73%,226,212,205,191,170,170,44%,0%,36%,22%,92,71,30,36,9,25,50%,57%
Second,James Blake,2-6 6-1 6-4 6-3,2006,m,James Blake,Jean-Christophe Faurel,USA,FRA,55%,61%,5,9,3,6,77%,64%,51%,43%,209,205,188,165,144,144,47%,50%,47%,36%,119,100,41,33,33,27,67%,63%
Second,David Nalbandian,6-4 3-6 6-4 6-2,2006,m,David Nalbandian,Stanislas Wawrinka,ARG,SUI,66%,55%,2,10,3,4,66%,65%,72%,57%,196,217,176,188,156,156,33%,8%,40%,34%,136,123,26,46,46,52,67%,69%
Second,Tommy Robredo,7-6(4) 3-6 7-6(5) 6-3,2006,m,Tommy Robredo,Dmitry Tursunov,ESP,RUS,73%,54%,5,8,2,5,69%,78%,65%,44%,202,217,165,181,141,141,67%,33%,39%,33%,154,140,50,40,55,65,83%,59%
Second,Feliciano Lopez,6-2 6-4 6-7(6) 6-4,2006,m,Feliciano Lopez,Gilles Muller,ESP,LUX,61%,65%,17,10,5,4,80%,66%,50%,52%,213,201,193,183,156,156,38%,67%,40%,33%,138,125,55,43,39,43,64%,58%
Second,Jarkko Nieminen,6-2 7-6(3) 6-2,2006,m,Jarkko Nieminen,Jimmy Wang,FIN,TPE,62%,50%,4,4,2,2,72%,63%,70%,41%,197,196,164,180,139,139,67%,20%,49%,30%,107,72,30,28,23,53,67%,54%
Second,Mario Ancic,6-1 6-4 6-4,2006,m,Mario Ancic,Jan Hernych,CRO,CZE,63%,65%,10,1,2,1,91%,61%,64%,62%,210,194,189,176,149,149,27%,-,40%,20%,90,66,42,21,22,11,84%,53%
Second,Fabrice Santoro,6-4 6-1 6-4,2006,m,Fabrice Santoro,Andrei Pavel,FRA,ROU,59%,65%,8,4,2,3,69%,56%,46%,38%,,,,,,,64%,23%,52%,41%,102,81,42,33,18,30,68%,52%
Second,Julien Benneteau,6-4 7-6(3) 6-1,2006,m,Julien Benneteau,Guillermo Garcia-Lopez,FRA,ESP,75%,55%,8,4,4,6,78%,70%,60%,56%,,,,,,,25%,0%,39%,29%,108,88,23,25,27,55,73%,47%
Second,Marcos Baghdatis,6-4 6-3 3-6 0-6 7-5,2006,m,Marcos Baghdatis,Radek Stepanek,CYP,CZE,51%,57%,6,11,6,4,72%,67%,57%,54%,213,213,186,183,152,152,42%,55%,39%,35%,141,137,43,48,46,60,47%,59%
First,Florian Mayer,6-4 6-1 4-6 6-4,2006,m,Florian Mayer,Hyung-Taik Lee,GER,KOR,50%,63%,10,2,3,4,78%,51%,43%,52%,199,194,181,173,143,143,64%,71%,49%,39%,120,100,45,29,44,47,74%,50%
First,Dominik Hrbaty,3-6 4-6 6-2 6-1 6-3,2006,m,Dominik Hrbaty,Oliver Marach,SVK,AUT,58%,48%,7,12,8,9,70%,67%,55%,37%,,,,,,,43%,67%,49%,36%,153,126,41,37,48,66,77%,59%
First,Nathan Healey,6-2 6-3 ret.,2006,m,Nathan Healey,Filippo Volandri,AUS,ITA,55%,67%,3,1,4,3,78%,52%,68%,33%,,,,,,,42%,50%,54%,26%,70,44,15,14,11,29,71%,48%
First,Boris Pashanski,6-3 6-4 4-6 7-6(2),2006,m,Boris Pashanski,Wayne Arthurs,SRB,AUS,67%,47%,6,29,0,9,74%,79%,68%,49%,,,,,,,33%,20%,37%,28%,137,119,54,56,20,33,82%,52%
First,Janko Tipsarevic,1-6 6-4 4-6 6-2 6-4,2006,m,Janko Tipsarevic,Andreas Seppi,SRB,ITA,53%,48%,9,9,3,5,68%,71%,51%,46%,,,,,,,50%,50%,42%,40%,142,134,36,48,38,68,60%,76%
First,Amer Delic,7-5 6-7(3) 6-3 3-6 6-3,2006,m,Amer Delic,Potito Starace,BIH,ITA,61%,75%,14,6,8,5,71%,65%,54%,61%,,,,,,,33%,25%,36%,36%,173,168,79,50,67,34,66%,58%
First,Fernando Verdasco,7-6(5) 6-4 6-4,2006,m,Fernando Verdasco,Kenneth Carlsen,ESP,DEN,63%,56%,3,7,6,5,84%,76%,54%,47%,222,213,180,193,149,149,13%,0%,37%,27%,116,101,33,32,30,43,67%,83%
First,Roger Federer,6-2 6-3 6-2,2006,m,Roger Federer,Denis Istomin,SUI,UZB,69%,64%,2,8,0,3,83%,58%,57%,37%,202,207,176,191,152,152,55%,33%,49%,25%,91,59,20,15,19,39,81%,57%
First,Kristof Vliegen,6-3 6-1 6-4,2006,m,Kristof Vliegen,Christophe Rochus,BEL,BEL,66%,57%,17,1,3,2,79%,54%,47%,50%,,,,,,,75%,20%,48%,32%,91,62,45,13,26,26,52%,56%
First,Juan Carlos Ferrero,7-5 6-0 6-2,2006,m,Juan Carlos Ferrero,Tomas Zib,ESP,CZE,57%,63%,8,3,0,3,73%,54%,67%,37%,185,197,170,175,141,141,67%,67%,53%,30%,91,59,31,12,24,28,67%,53%
First,Raemon Sluiter,6-4 2-6 6-2 6-4,2006,m,Raemon Sluiter,Pavel Snobel,NED,CZE,57%,46%,7,5,5,7,78%,64%,61%,58%,,,,,,,38%,75%,39%,29%,114,102,29,24,53,55,74%,45%
First,Paul Goldstein,6-2 1-6 6-3 6-2,2006,m,Paul Goldstein,Novak Djokovic,USA,SRB,62%,62%,2,6,7,9,71%,62%,45%,42%,,,,,,,32%,23%,46%,39%,123,107,25,48,21,68,61%,66%
First,Dick Norman,6-4 7-6(6) 5-7 0-6 6-3,2006,m,Dick Norman,Zack Fleishman,BEL,USA,63%,52%,18,6,9,9,72%,69%,33%,53%,,,,,,,46%,32%,39%,42%,165,175,61,38,90,52,70%,53%
First,Luis Horna,6-4 7-5 6-1,2006,m,Luis Horna,Gael Monfils,PER,FRA,84%,51%,1,6,2,6,73%,70%,67%,42%,217,217,164,181,139,139,55%,50%,44%,28%,94,72,27,14,24,42,79%,55%
First,Tommy Haas,6-2 7-5 6-2,2006,m,Tommy Haas,Richard Gasquet,GER,FRA,62%,50%,7,4,1,4,79%,64%,54%,51%,205,205,185,188,148,148,60%,9%,42%,31%,96,73,28,27,33,35,88%,58%
First,Juan Monaco,4-6 6-2 6-4 6-3,2006,m,Juan Monaco,Jean-Rene Lisnard,ARG,MON,58%,37%,2,1,4,9,68%,80%,56%,40%,,,,,,,50%,31%,46%,37%,128,109,35,33,49,57,61%,71%
First,Peter Luczak,7-6(4) 7-6(5) 6-4,2006,m,Peter Luczak,Ivo Minar,AUS,CZE,64%,53%,15,12,2,0,78%,81%,68%,66%,202,210,180,194,146,146,50%,33%,26%,25%,106,102,35,42,23,36,73%,56%
